Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Timestamp,Day_of_Week,App_Response_Time,Website_Response_Time
mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.49726772511229,12.655651149166752,39.57766801952616,4.082620632952961,587.9510539684005,2022-01-01,Saturday,1.2107346207728091,2.142600088253282
hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,31.92627202636016,11.109460728682564,37.268958868297744,2.66403418213262,392.2049334443264,2022-01-02,Sunday,4.731423797990914,5.048045970554281
pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33.000914755642675,11.330278057777512,37.11059744212085,4.104543202376424,487.54750486747207,2022-01-03,Monday,1.0114789611715362,1.603485737395207
riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.30555662975554,13.717513665142508,36.72128267790313,3.120178782748092,581.8523440352178,2022-01-04,Tuesday,4.956287033524604,0.19788541106435584
mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.33067252364639,12.795188551078114,37.53665330059473,4.446308318351435,599.4060920457634,2022-01-05,Wednesday,5.207131173019448,5.3021058706381705
alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.87103787934198,12.026925339755058,34.47687762925054,5.493507201364199,637.102447915074,2022-01-06,Thursday,5.338406371974662,5.337176092275872
katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32.02159550138701,11.366348309710526,36.683776152869605,4.685017246570912,521.5721747578274,2022-01-07,Friday,2.197796594750721,4.499067807370046
awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.739142938380326,12.35195897300293,37.373358858547554,4.4342734348999375,549.9041461052942,2022-01-08,Saturday,2.602773757280177,4.571523822214187
vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,33.98777289568564,13.386235275676434,37.534497341555735,3.2734335777477144,570.2004089636195,2022-01-09,Sunday,4.569819125350488,1.8147792803773983
bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.93654861844892,11.814128294972196,37.14516822352819,3.202806071553459,427.19938489532814,2022-01-10,Monday,1.964664021285387,3.517786976982416
andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,33.99257277495374,13.338975447662111,37.22580613162114,2.482607770510596,492.6060127179966,2022-01-11,Tuesday,0.672590901353499,0.5286007459506376
ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.87936082480498,11.584782999535266,37.087926070983805,3.71320920294043,522.3374046069357,2022-01-12,Wednesday,4.896822288777692,3.254256427612282
knelson@gmail.com,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,29.532428967057943,10.961298400154098,37.42021557502538,4.046423164299585,408.64035107262754,2022-01-13,Thursday,4.068065785617409,3.467245085333071
wrightpeter@yahoo.com,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.19033404372265,12.959226091609382,36.14466670004192,3.918541839158999,573.4158673313865,2022-01-14,Friday,0.4721974519520363,0.18677990861854532
taylormason@gmail.com,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,32.38797585315387,13.148725692056516,36.61995708279922,2.494543646659249,470.45273330095546,2022-01-15,Saturday,1.5329229926781025,2.816316171019076
jstark@anderson.com,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",Peru,30.737720372628186,12.636606052000127,36.213763093698624,3.357846842326294,461.7807421962299,2022-01-16,Sunday,1.6452060241683286,0.2603254851134595
wjennings@gmail.com,"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,32.12538689728784,11.733861690857392,34.8940927514398,3.1361327164897803,457.84769594494855,2022-01-17,Monday,2.1074454688597135,0.9102651816106178
rebecca45@hale-bauer.biz,"8982 Burton Row
Wilsonton, PW 88606",OliveDrab,32.33889932306719,12.0131946940144,38.38513659413844,2.420806160901484,407.7045475495441,2022-01-18,Tuesday,2.8550528871762166,3.076913602432564
alejandro75@hotmail.com,"64475 Andre Club Apt. 795
Port Dannytown, PW 63227",Cyan,32.187812045932155,14.7153875441565,38.24411459434352,1.516575580831944,452.31567548003545,2022-01-19,Wednesday,2.2916845538994126,0.40951085473310883
samuel46@love-west.net,"544 Alexander Heights Suite 768
North Johnview, MT 57912",LightSeaGreen,32.61785606282345,13.989592555825254,37.19050380039796,4.064548550437977,605.061038804892,2022-01-20,Thursday,3.387437460950341,1.1406270443417172
megan33@gmail.com,"84426 Julia Vista
North Teresa, KY 50756",PeachPuff,32.91278511115979,11.365492025516156,37.60779252420698,4.599937357614995,534.7057438060227,2022-01-21,Friday,4.294890625345087,4.0726808729252415
agolden@yahoo.com,"PSC 2490, Box 2120
APO AE 15445-2876",Black,33.50308725671972,12.87798369625634,37.44102133556604,1.559151939957077,419.9387748391792,2022-01-22,Saturday,1.381726238243447,1.1288995997314453
vstafford@hotmail.com,"PSC 5723, Box 8159
APO AA 74738",Olive,31.531604482572902,13.378562784168986,38.73400628989712,2.2451477874052825,436.51560572936256,2022-01-23,Sunday,4.669046102000364,4.774673334014421
denise22@hernandez-townsend.com,"USNS Cardenas
FPO AA 85439-9449",Silver,32.903250973372074,11.657575922065584,36.77260376125875,3.919302308553184,519.3409891307888,2022-01-24,Monday,3.371401805237093,1.0233005061445377
youngbarbara@yahoo.com,"019 Elliott Tunnel Suite 190
Nicholsbury, WV 60804-4440",Wheat,34.50755099852662,12.893669504071738,37.63575587790592,5.705153970601026,700.9170916173961,2022-01-25,Tuesday,1.8485009497245732,4.921555224596476
william25@mcconnell.com,"9495 Mary Fall Apt. 777
Glassport, ND 17957-5596",Teal,33.02933195350689,11.765812645482358,37.73852494557909,2.7217359920452187,423.17999168059777,2022-01-26,Wednesday,4.036219326114303,2.209327293196046
ijones@schaefer-carr.net,"657 Judith Crossroad
Hancockchester, VI 75658-5788",Linen,33.54123131310037,12.78389178427502,36.430649621049305,4.648199316428601,619.8956398616368,2022-01-27,Thursday,4.951034293856091,3.260456262527118
heatherhall@yahoo.com,"8522 Regina Port Suite 782
Port Kaitlin, TX 50501-7264",MediumSlateBlue,32.33598963740772,13.007819424388568,37.85177916943607,2.996364526268539,486.83893476506273,2022-01-28,Friday,0.6101015867433626,0.8801044089547222
tinasmith@martinez.info,"40000 Ann Port Suite 474
Youngberg, MS 03651",LemonChiffon,33.11020505771776,11.982044994015611,35.29308775436051,3.923488745527437,529.537665336851,2022-01-29,Saturday,3.1553940818385353,0.8630923219893989
chasejennifer@hotmail.com,"9507 Robert Prairie Apt. 601
East Crystalview, SC 56814",DarkOrchid,33.10543794246846,11.965020002997898,37.27781174207212,4.742577519573315,554.7220838330761,2022-01-30,Sunday,5.20324999844619,2.936265773961674
jenniferbarnett@gmail.com,"0772 Michael Isle Suite 617
Meyerstown, WA 45449-6768",SeaGreen,33.24190043446127,12.305417813429443,36.16364817104465,3.062368145311689,497.5866713004408,2022-01-31,Monday,2.309385332508991,4.999927698954847
jared39@hotmail.com,"739 David Isle Suite 818
Chandlertown, DC 34587",SteelBlue,33.46105629551836,10.869163814130363,35.62244242064545,3.471413452477678,447.6879065360586,2022-02-01,Tuesday,2.7419600894396856,2.531768896905818
briancarlson@page-fleming.com,"USCGC Gill
FPO AA 26496",DarkMagenta,32.175501237949376,13.387492105579694,35.69417498569782,4.343062915388998,588.7126055095755,2022-02-02,Wednesday,4.079573548957346,4.309780998406664
joshuaodom@gmail.com,"5277 Patel Brook
East Audrey, NJ 19075",DarkGoldenRod,32.72836000313375,13.1045072428758,38.878040506759845,2.8200972339734696,491.0732236795197,2022-02-03,Thursday,4.547919815663102,0.5233738363879382
vickie90@lee-wilson.com,"9135 Rodriguez Dam
Ramirezberg, MS 77223",DarkSeaGreen,32.82030994541536,11.634893252550466,35.36862632536302,4.1245852967146535,507.4418323396167,2022-02-04,Friday,1.7043257082420222,5.386984556891999
duane56@hotmail.com,"24373 Mcgee Drive Apt. 990
New Mariahaven, NH 14470",Gainsboro,33.61603789276768,11.936386499892285,38.76864099802668,3.649286157714702,521.8835731664784,2022-02-05,Saturday,0.45448604343882143,3.387885818838045
enash@gmail.com,"997 Campbell Flat Suite 970
East Amanda, PW 22048",HotPink,31.72165236050904,11.75502370305383,36.7657223578584,1.8473704233395083,347.7769266318726,2022-02-06,Sunday,3.043704052818088,4.432170438470178
sandraharrison@bailey-gordon.net,"7835 Rogers Roads
East Amberhaven, MI 70835-2286",LightSeaGreen,32.8653271748764,11.984417523634924,37.0443614002997,3.452388582630727,490.7386321439546,2022-02-07,Monday,5.094931369175431,1.2296125560004583
cunninghamwilliam@hotmail.com,"4589 Dan Fords
Beasleyburgh, ME 96590-8272",HoneyDew,32.74936818112046,9.954975969174418,37.38831486719822,4.650491269094463,478.1703340540876,2022-02-08,Tuesday,3.9900048329388227,0.6190631005949028
teresaallen@hill-leach.info,"1958 Robert Bridge Apt. 250
Malloryland, ID 03393-5336",WhiteSmoke,32.56723048027511,12.489013215743665,36.37147981406854,4.22243622534277,537.8461952695957,2022-02-09,Wednesday,1.6172705838289207,3.7118510816388004
rhonda96@little.org,"2977 Perez Row
Lake Jack, TN 45336-9436",GhostWhite,32.07054622092545,11.733106220383402,37.53429101112127,4.671275460906252,532.7517875818365,2022-02-10,Thursday,4.6567512402783136,1.5044149667646194
lisacabrera@yahoo.com,"9801 Thomas Pike Suite 058
Brandishire, AK 88122-1314",DarkSlateBlue,33.01954798572344,10.634561317920278,37.49669014561275,4.646119976606155,501.8744302842695,2022-02-11,Friday,2.840103040357842,3.6444177597951666
jasonrichardson@elliott.com,"18372 Matthew Fork Suite 705
North Matthewmouth, KY 99737",Chocolate,33.79203907501622,12.507525374016035,37.14286198458455,4.214495086037866,591.1971781805905,2022-02-12,Saturday,4.383586242053959,1.9132581003628228
hoovernicole@dorsey.net,"69403 Hernandez Knolls
Marciashire, DE 36417-5667",HoneyDew,32.89398062181101,11.52987820576495,36.888086054199256,4.643258549800133,547.2443434159983,2022-02-13,Sunday,4.230869025417857,3.583077142718628
christopher20@gmail.com,"USNV Fuller
FPO AE 32122-5711",Snow,32.04448612744043,13.41493473585169,36.11243501077792,2.258686386946843,448.22982918655,2022-02-14,Monday,0.4024291565803947,1.9227826226182476
brianwilson@yahoo.com,"448 Stewart Divide
New Ashleyfort, FM 84050",BurlyWood,34.555767994657494,12.170525424959395,39.13109673366661,3.663105491283854,549.860590464497,2022-02-15,Tuesday,3.2144804105221447,1.2504960374906762
gonzaleskatie@gmail.com,"70129 Darrell Spring
Thomasmouth, HI 39319-2739",Moccasin,34.56455770619167,13.14655143290706,37.33544589432572,3.8768751769237673,593.915002968289,2022-02-16,Wednesday,3.2498380123177264,2.0927229215587113
lsmith@chung.com,"412 Jackson River
Kleinburgh, KS 52039-7404",BlueViolet,32.726784597863976,12.988510147185291,36.46200325853961,4.113226122724209,563.6728733601082,2022-02-17,Thursday,5.1460597568088025,4.9032295790234635
dongarcia@hotmail.com,"546 Benjamin Lights Suite 421
Romerofurt, NC 43746-4501",MediumBlue,33.117218732994786,11.86412635894251,36.58272776540628,3.202531199210734,479.73194908594513,2022-02-18,Friday,0.7529332130242443,5.409982944102936
kimberly46@garcia-nelson.biz,"4066 Gonzalez Dam Apt. 277
West Jessica, TN 36880",GreenYellow,31.66104982274608,11.398064190096813,36.59445670006827,3.198399271684906,416.3583535799008,2022-02-19,Saturday,0.6038070521784723,4.768505722913587
william82@gmail.com,"11143 Park Squares
Samanthatown, UT 97073",SandyBrown,33.25633546983111,13.85806246213124,37.78026468722867,5.97676812602,725.5848140556805,2022-02-20,Sunday,2.7384934195689756,3.15687096414732
brenda82@maldonado-gonzalez.net,"645 Elizabeth Pass
Williamview, MS 51544",MediumVioletRed,33.90022441401576,10.956790967791653,37.266878259420906,2.952668957921736,442.667251738628,2022-02-21,Monday,5.202253622817375,5.433035955680303
josephgould@west.info,"861 Annette Stream Suite 771
North Miguel, CA 33824-1610",DarkBlue,34.18777482695728,10.320116255059192,37.45340510152358,2.0948917061051766,384.6265715694054,2022-02-22,Tuesday,1.7079189936884704,3.590803158764867
wbrady@yahoo.com,"044 Riggs Expressway
Lake Stevenchester, AL 22283",SandyBrown,33.76206923913139,9.98451439654646,35.93344930095986,3.85547168456418,451.4574468676027,2022-02-23,Wednesday,1.0827353684373675,1.1225338662944206
smithtracey@mcgee.com,"PSC 4508, Box 7961
APO AA 55271-2375",DarkOliveGreen,34.390163664343326,12.64519514084352,38.46832110587932,2.874596910303952,522.40414125956,2022-02-24,Thursday,4.47556439431364,4.132556958005973
amberchase@fowler.info,"1867 Gregory Isle Suite 022
Port Tammy, LA 52305-9696",GreenYellow,33.92529660119954,11.588655423353044,35.25224202243303,3.3920504890738385,483.6733080190456,2022-02-25,Friday,1.717520783823111,5.30707008825407
gregoryholmes@hotmail.com,"2891 Martin Plain Suite 197
Melaniestad, NE 65650-8529",DarkSalmon,32.68822929602445,13.761532847115612,39.25293095040623,2.995761182613056,520.8987944502368,2022-02-26,Saturday,2.868396339418771,0.5398175270986323
jeffreydawson@gmail.com,"9944 Trevor Expressway
Robinsonstad, OR 34630-1840",DarkSeaGreen,34.3018702154015,10.56829468563276,36.17312563197192,3.315224753915403,453.16950235469744,2022-02-27,Sunday,3.1123357876205056,1.2641728473994343
rjohns@gmail.com,"264 Derek Dam Apt. 680
West Danielle, SD 91517-8611",DeepPink,32.843930222655175,11.832286222863628,36.81401056250368,3.4719191365417483,496.650708068581,2022-02-28,Monday,3.1292663905977762,3.2167662352526483
john85@martin-morgan.com,"USNV Reese
FPO AA 73568-0730",Olive,33.75499472831927,12.06415663219932,37.271221692501925,3.9705556280753487,547.3651405940458,2022-03-01,Tuesday,3.9106354939617263,0.9892055542398671
vcoleman@yahoo.com,"7761 Hughes Curve Apt. 880
Rodriguezberg, MN 96206-5317",SkyBlue,33.879784289702826,12.495591602384836,38.05260975257308,4.639320331857264,616.8515229667128,2022-03-02,Wednesday,2.4969933760369516,2.7710524930623657
floresarthur@yahoo.com,"12612 Johnson Skyway Suite 764
Jessicaville, CT 14968-6590",Magenta,33.07653560709715,9.607314687519166,36.49399254673739,5.081210092491108,507.21256900067846,2022-03-03,Thursday,1.3130876450545734,0.47011720379367383
ryan36@gmail.com,"5379 Rhonda Prairie Apt. 696
Brownland, WA 87027",DarkTurquoise,32.22729913636721,13.728627177429864,37.99702800956553,4.802630630523376,613.5993233689068,2022-03-04,Friday,3.823074124466383,4.539424511897819
chris67@ryan.biz,"716 Bush Greens Apt. 098
Trevorton, MA 17817-8000",Silver,32.789772618310714,11.670065919118978,37.4087484767376,3.414688422504897,483.15972078451705,2022-03-05,Saturday,2.5107872800818543,5.300106429589571
katie25@gmail.com,"6861 Lopez Fork Apt. 114
South Jamiechester, DE 63993",SpringGreen,32.77260992960089,13.276313008175377,36.60077705432864,3.462298847460372,540.2634004105403,2022-03-06,Sunday,2.387902028709412,0.40761072933723086
kyang@diaz.org,"223 Love Trail Suite 831
Port Jeffrey, IN 46849",OliveDrab,34.374258045247466,15.126994288792469,37.15762409406526,5.377593583586978,765.5184619388372,2022-03-07,Monday,4.585830729043235,1.3465657239413127
tadams@contreras.info,"049 Matthew Terrace
Lake Matthew, MS 20210",Aqua,33.0787172146689,12.695789749023144,35.358444307206696,4.001786345798084,553.6015346844503,2022-03-08,Tuesday,3.663641450730133,4.624575231225518
craigcastro@burgess.com,"65407 Warner Forges Suite 071
New Lori, AZ 30132-2395",OrangeRed,32.80522040097184,11.835476087614284,36.375066106372905,3.4395905595500764,469.3108614953106,2022-03-09,Wednesday,4.211485925520332,2.760104081191471
ellen24@anthony.com,"PSC 3408, Box 3353
APO AE 05113-1257",LimeGreen,32.43075793005128,11.306232344673576,37.68040322813719,2.7795207192736093,408.62018782983785,2022-03-10,Thursday,2.9621815665641753,1.5469387360361297
davisrobert@hicks-smith.com,"95967 Pitts Burgs
West Sarah, MH 27817-5147",SkyBlue,32.179099972602344,11.187538910878676,40.005181638101895,3.5526497674265176,451.575685159493,2022-03-11,Friday,4.542544219689908,4.19188030988527
walkerlaura@peterson-yates.com,"89154 Jones Stream Suite 311
East Katie, NC 72742-1516",LightGreen,33.15417578832186,11.887494133971662,36.265000697022046,2.6022871120328714,444.96655165329264,2022-03-12,Saturday,3.847355966684821,4.3011497216682
marc54@hotmail.com,"Unit 6174 Box 1949
DPO AP 27478",SandyBrown,34.33589583979252,12.2289347111239,36.1571911511149,4.694322274442824,595.8228366992037,2022-03-13,Sunday,3.1011153472626645,2.3249857732306363
gregoryrussell@yahoo.com,"55436 Devon Plain
West Kendraberg, HI 18826-3623",Teal,32.38625185558597,10.674653472691904,38.00658317947767,3.4015223445155094,418.1500810968496,2022-03-14,Monday,2.8222359204889447,2.55262669930163
williamsjohnny@ferguson.info,"51920 Kent Junctions Apt. 352
Walkerport, NY 11257-6647",LightYellow,32.80869759268502,12.817113090284248,37.03153921676629,3.8515788003584657,534.7771880994133,2022-03-15,Tuesday,5.282044115486746,1.1083479195603665
haydenrebecca@gmail.com,"10022 Wilson Orchard Suite 107
Harrisstad, MH 99272",MintCream,33.87974496798125,13.5878060830337,38.260353442660126,3.25811288288828,578.2416050583773,2022-03-16,Wednesday,3.6330253951186724,1.535904981996487
langmatthew@hotmail.com,"606 Perez Drives
Maryside, CO 94387-5877",DimGray,32.04983939045731,12.238057349986248,38.73086173541955,3.120568914816974,478.7193568742153,2022-03-17,Thursday,5.057727391453845,2.8018920961418075
david43@richards.com,"967 Andrew Spurs
Mathistown, CO 28230",Indigo,33.55520742143224,11.55182116621942,36.628834292811774,2.837943164069798,444.2859074976436,2022-03-18,Friday,3.116182795226741,0.7037521529440788
paulkemp@yahoo.com,"PSC 9698, Box 5466
APO AE 75496-3580",LightSalmon,33.14207932732039,11.433379933334455,35.89243163440533,4.470282584120023,544.7798637193825,2022-03-19,Saturday,1.7134586554218914,3.2807530807394394
fbryant@gmail.com,"284 Jennifer Curve
Lake Hollyberg, IN 05228",GreenYellow,32.59718265981362,10.889566863427978,38.21257083414733,4.442054329011166,488.7860610939056,2022-03-20,Sunday,5.224865228357626,2.522626567363887
kimberlyfrederick@gmail.com,"71299 Jessica Shoals
East Mark, IA 48085-1070",DeepSkyBlue,33.167136876950536,11.928842093866267,36.91463331144087,3.164943995285113,475.759067788328,2022-03-21,Monday,4.811904470995592,2.879747150097934
sharon82@saunders.info,"873 Clay Flats Apt. 810
Lake Kyle, GU 48782",DarkGreen,31.514737857801983,12.595671305072534,39.6003764658614,3.7517345520890513,489.8124879964614,2022-03-22,Tuesday,4.732189406232097,4.771252846471745
fishermichael@ramos.com,"565 Duarte Keys Suite 293
Traceytown, IN 17797",LimeGreen,34.59402114954151,10.947258584185183,35.88399438701215,3.159754443950926,462.8976361529081,2022-03-23,Wednesday,2.6646981804982723,3.2107047354628593
ilawson@hotmail.com,"19018 Christopher Neck Apt. 963
Mcintoshchester, IA 66908-2456",DarkGoldenRod,33.50136982210362,13.898081993497067,37.0589128165069,4.130562809236323,596.4301726172283,2022-03-24,Thursday,2.9429803615170473,2.1436889277771036
shafferdaniel@murphy-harris.info,"USCGC Thomas
FPO AP 43708-2468",Turquoise,32.40237101796123,10.875559548189257,37.78114255999947,1.9140899242311,338.3198626415221,2022-03-25,Friday,2.011286537556319,1.6572384753286489
stevenanderson@yahoo.com,"5401 Holt Corner Apt. 195
Hannahstad, NC 86693-3595",LightGreen,34.65548567957987,10.33807269503854,36.15725594420065,4.396651901097083,533.5149352552407,2022-03-26,Saturday,0.6164692808871765,3.340468519537872
richard16@boyer-pratt.com,"4568 Jeffrey Lane Apt. 512
South Jason, WV 78116-0966",LightSteelBlue,31.809300316679188,11.634668217942473,36.182539282355286,5.113319474870622,536.7718993628412,2022-03-27,Sunday,4.779240997852144,1.9548635123978997
hyoung@jones.info,"73469 Baker Forest Apt. 550
Allenbury, TX 63791",Cornsilk,33.877779300122526,12.517666287393077,37.15192066097144,2.669941624279581,487.3793060170291,2022-03-28,Monday,3.00340413505715,1.0508025197999304
erik46@hotmail.com,"20711 Martin Harbors Apt. 582
New Justinborough, AK 40834-2664",LemonChiffon,34.447871436480774,10.607723870859086,36.81909551318471,3.3664637433729325,473.7289665129948,2022-03-29,Tuesday,2.2140015626505214,3.339509997884973
rojasmichael@wagner-thomas.com,"7602 Scott Plaza Apt. 158
Lake Amberland, VI 10516-3276",DarkKhaki,31.956300560523367,12.8288933950187,36.951616684246815,4.571213023779052,547.1259317471988,2022-03-30,Wednesday,2.992595138063322,0.39130369124255854
lance88@briggs.com,"16001 Wilkins Island Suite 852
Jonathanfort, AL 88541-7817",FireBrick,32.6055836415705,12.068816079691766,36.1050004999139,3.917451119136939,505.1133435398579,2022-03-31,Thursday,3.4310295821320835,2.691909200002796
anthony09@hotmail.com,"5118 Madden Views Apt. 738
North Barryport, AS 28731-2270",LightSeaGreen,32.49144660312287,12.530357373542882,37.87521910003027,2.476139050596411,449.0703194428044,2022-04-01,Friday,3.1811323147693527,1.0872686117427326
audreyjohnson@rosales.com,"USCGC Nicholson
FPO AE 43987-0470",SlateGray,33.616018552595435,13.516284296962846,36.77312349371806,4.125584363255396,611.0000251040717,2022-04-02,Saturday,3.033615509654214,2.5208290756587863
beth76@yahoo.com,"4522 Paul Heights Suite 851
Adamsland, RI 08981",Crimson,33.47160052695171,11.662263431208276,36.05024078202619,3.9972553776226674,515.8288148548279,2022-04-03,Sunday,5.026149252839851,3.659103160651076
larrywest@davis.com,"21918 Gail Glens
Barbershire, SD 45790-8387",MidnightBlue,33.71065305912268,13.664747875183542,37.72438615760942,1.3626740800013843,439.074766741645,2022-04-04,Monday,3.556827035025659,1.9845316638410941
raylopez@hotmail.com,"3600 Amber Plains Suite 002
North Jamesburgh, VA 07917",DarkGoldenRod,32.19772379742183,11.83023109487895,36.63385670229112,4.193324635532072,514.088957746572,2022-04-05,Tuesday,3.113901077107603,4.610649835614264
middletonrenee@gmail.com,"71757 David Freeway Apt. 851
West Carriefurt, NC 27106-3364",DarkCyan,32.46121244511541,13.291143045352882,38.633625651583536,3.871003400176416,543.340166256701,2022-04-06,Wednesday,1.4654802326754148,2.1959167705196734
grichardson@ryan.info,"79139 Boone Common
Stewartstad, DE 63633-1812",SteelBlue,33.790387206952126,11.942340869536071,38.06341358683894,4.08180269478151,521.1429518103512,2022-04-07,Thursday,5.27087602451529,2.5423034837879737
esmith@gmail.com,"USS Johnson
FPO AE 35617-5384",OldLace,34.18382052058911,13.349912944366531,37.827394227862136,4.252006105620936,614.7153338263417,2022-04-08,Friday,3.2641394572053484,3.915321453409051
michael53@munoz.com,"USNS Mitchell
FPO AP 92946",MediumBlue,32.288666909138946,12.020112091208748,39.074400211336965,3.911708668370663,507.39006178986654,2022-04-09,Saturday,3.792483029129886,3.628775858893088
jacqueline46@mcdonald-smith.biz,"3794 Michael Forest Apt. 750
New Stephenberg, MD 61004-0181",Gray,33.82635200907213,12.084091730811034,35.89035795567322,3.021671821710012,495.2994425473086,2022-04-10,Sunday,5.330531711259985,0.3066174481497004
briannasantana@gmail.com,"88978 Noble Crest
North Rosemouth, FM 53484-6689",LightPink,32.49839307472945,13.410759184940549,35.9904889547585,3.184618661620886,518.0645579840107,2022-04-11,Monday,2.837477118754,1.4388199216363897
mark52@yahoo.com,"82227 Farmer Throughway Suite 266
Leeborough, WV 35324",BlanchedAlmond,31.88540629991176,11.281931074103642,37.385317552778375,2.877224878259828,390.1032729724755,2022-04-12,Tuesday,3.9676729412528187,4.954589238110308
acampbell@sanchez-velasquez.info,"5791 Jessica Cove
Mckinneyborough, OK 64460-7536",Wheat,32.425697279750864,11.448901535513796,37.58019042917731,2.5869679851624765,420.7376732446371,2022-04-13,Wednesday,0.9227683871506716,1.4433479784372083
qgarcia@williams.com,"465 Kenneth Common Apt. 192
North Tracy, WI 36024-8978",Aqua,33.43782956230187,12.595420346380532,36.26203180012439,2.96964022663276,492.1050523891852,2022-04-14,Thursday,3.659067245811066,5.237040961934719
jenniferking@hess.net,"06939 Jones Neck
Mariaview, VT 87641",BlueViolet,31.3895854806644,10.994223919350974,38.07445241970454,3.4288599039280125,410.06961105998295,2022-04-15,Friday,3.4618022131541855,1.4069888573940497
taylor91@hotmail.com,"3132 Willie Harbor
Kaylafurt, FL 01107",CadetBlue,33.46869994900622,13.085505760060858,35.84582711383271,2.926940235492512,497.5136833293677,2022-04-16,Saturday,4.679751522126507,1.31459064238138
